YEAR,MONTH,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District.of.Columbia,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New.Hampshire,New.Jersey,New.Mexico,New.York,North.Carolina,North.Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode.Island,South.Carolina,South.Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West.Virginia,Wisconsin,Wyoming
1951,1,132,251,124,256,117,105,19,23,52,103,27,95,89,18,203,83,18,211,88,408,432,106,9,31,117,8,1,56,502,140,364,277,34,197,82,46,453,176,17,6,89,886,6,250,330,116,152,335,12
1951,2,94,206,217,199,52,66,4,23,79,124,19,69,97,36,221,75,16,159,45,243,298,46,30,36,56,8,9,33,264,105,220,193,21,163,126,32,343,80,15,20,33,1177,10,108,197,52,155,277,12
1951,3,102,352,142,185,71,19,6,16,50,109,24,119,43,42,245,131,16,120,44,195,277,51,35,45,29,11,5,36,269,82,206,225,11,191,116,24,250,65,76,6,86,1583,38,39,279,76,193,190,27
1951,4,148,218,140,189,78,23,8,35,95,204,12,111,51,22,112,66,15,90,28,171,228,15,63,29,44,7,8,24,262,63,167,223,35,179,90,29,247,37,33,9,68,1363,12,33,191,48,178,211,33
1951,5,253,272,248,323,107,34,9,17,119,142,36,91,135,72,100,117,33,100,29,147,261,27,106,32,55,8,4,36,207,129,149,244,43,141,93,37,173,36,13,11,101,1296,26,26,200,115,261,252,251
1951,6,176,149,208,311,102,42,2,17,114,123,21,114,97,73,108,290,18,46,22,93,228,23,85,46,44,7,14,12,191,50,110,187,38,145,146,27,141,1,26,11,112,1974,30,7,286,49,146,220,34
1951,7,62,109,100,256,102,16,10,15,100,88,48,115,54,78,92,98,14,45,22,110,185,8,83,70,28,5,17,7,212,45,122,240,11,176,139,14,207,25,10,6,134,1167,25,12,130,73,125,201,10
1951,8,43,118,85,326,72,31,1,30,86,53,30,158,96,52,79,148,10,46,29,149,221,16,29,94,22,16,0,18,227,51,101,141,6,166,99,23,271,4,14,9,130,810,14,28,108,45,213,256,18
1951,9,51,47,92,250,88,46,1,11,68,43,12,162,88,40,38,78,12,55,20,191,236,11,42,66,13,6,1,16,152,14,123,66,16,182,74,10,297,4,8,5,99,920,10,14,107,35,93,207,10
1951,10,40,53,122,323,34,42,3,17,32,71,31,197,96,18,44,92,19,36,29,267,284,18,17,45,37,2,0,35,234,97,136,64,6,192,44,11,185,36,7,2,89,602,6,24,66,29,75,242,3
1951,11,54,58,66,308,53,74,1,2,71,53,17,114,99,17,54,113,24,18,37,297,282,25,35,80,17,32,0,42,298,86,185,48,6,189,59,14,221,30,9,15,85,725,9,180,78,19,167,278,2
1951,12,123,39,57,269,64,64,1,4,54,79,15,107,108,26,35,75,4,53,26,249,224,11,40,78,19,27,0,38,203,6,166,53,5,206,47,25,242,15,11,3,93,1300,2,95,78,4,169,176,5
1952,1,55,96,109,459,56,110,2,5,56,65,13,97,86,5,40,237,13,30,20,381,259,8,19,43,10,12,0,89,216,32,199,56,0,204,40,27,327,29,9,3,95,1034,36,70,75,7,303,109,7
1952,2,182,87,52,287,25,64,2,3,53,47,5,77,34,22,27,109,14,38,24,269,157,20,30,39,4,3,1,33,137,23,149,46,5,131,32,22,192,64,11,3,102,1274,69,32,87,20,246,195,2
1952,3,82,197,52,378,32,43,1,7,32,69,4,59,21,16,33,641,18,23,6,217,185,10,37,30,13,2,0,36,138,28,134,59,3,136,35,24,154,15,21,0,100,1262,10,19,112,14,188,237,4
